"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000147206",13.796031671547,-2.94173146501542,0.303888519322909,-4.74427750093268,2.09251833382232e-06,7.0604371494559e-05
"ENSG00000105695",6.92569100826984,-2.93238649730194,0.386609270323295,-3.70499780334841,0.000211392564660376,0.00492182529033959
"ENSG00000163421",3.75426620552947,-2.92775018415536,0.302955793807335,-4.71273437689507,2.44414707064269e-06,8.14344098109228e-05
"ENSG00000121207",140.35650562305,-2.91978384279996,0.208041739472122,-6.82451438063568,8.82232368631508e-12,6.81979624640546e-10
"ENSG00000198417",3065.93408835141,-2.91818141526459,0.367176534536868,-3.86239664539943,0.000112280072262073,0.00276396268870916
"ENSG00000087495",7.71888031796413,-2.91634730324289,0.257018800422313,-5.51067587630033,3.57458432185277e-08,1.60198395528432e-06
"ENSG00000163687",1358.85209718571,-2.9062606169485,0.235939480460741,-5.96025986919344,2.51837121026375e-09,1.3428249409472e-07
"ENSG00000229915",3.13709795185592,-2.89029276728419,0.260475854279818,-5.337511114526,9.42311281679947e-08,3.92227003571055e-06
"ENSG00000267586",18.9713100704348,-2.87879029255429,0.308930977818501,-4.46310144191605,8.07817845893686e-06,0.000245623698824282
"ENSG00000175336",5474.3377079169,-2.87695566673957,0.287508196292771,-4.78927447806535,1.67385397303809e-06,5.77449977475478e-05
"ENSG00000162595",100.896562835562,-2.87007471069238,0.283574912605114,-4.8314383599943,1.35550186284453e-06,4.76794124076373e-05
"ENSG00000255980",3.24319825208724,-2.86349682696717,0.298669270936698,-4.56523974726601,4.98923813750081e-06,0.000156758643416961
"ENSG00000146151",8.46528086287272,-2.83835074975422,0.290810058043341,-4.60214739049625,4.18157109989845e-06,0.000133828595333004
"ENSG00000160323",506.28094042212,-2.82792332404764,0.145259446489726,-9.14173471080635,6.14584479988974e-20,1.20524553726697e-17
"ENSG00000113594",879.27896595039,-2.82741269847263,0.208944198469691,-6.35295312430116,2.11220097650547e-10,1.33014035632521e-08
"ENSG00000109576",595.666102050388,-2.81726566816222,0.213256514168121,-6.17690706096675,6.53695269703984e-10,3.83553730537157e-08
"ENSG00000126759",23.0106804894111,-2.80989649021886,0.19320572159836,-6.77980175422496,1.20340898149184e-11,9.13068711702275e-10
"ENSG00000087237",468.865405598252,-2.79247028657925,0.210590051651898,-6.13737579928842,8.38957632579633e-10,4.8351759416128e-08
