"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000264424",2115.94843324688,6.15078404283735,0.654341441131219,7.10757985127325,1.18095413780614e-12,1.01492587960869e-10
"ENSG00000185559",2344.67379281458,6.15643256719825,0.678663807120498,6.86117709290411,6.82954338765822e-12,5.35011414979553e-10
"ENSG00000253363",22.8476188765458,6.1910037279318,0.645850371205648,7.26329802857405,3.77764335774849e-13,3.47115531174248e-11
"ENSG00000224141",17.261041017205,6.19173344215434,0.769833588843088,6.09447744311224,1.09795512539468e-09,6.1460246674392e-08
"ENSG00000169297",19.0938516205793,6.19507096824632,0.734815205237243,6.38945810427326,1.66474639211605e-10,1.06209365890024e-08
"ENSG00000266976",743.777261416571,6.22106230497045,0.525938528098528,8.97645267031285,2.79637011828057e-19,5.07515123330175e-17
"ENSG00000198033",60.7184285400495,6.24177199660531,0.775686496842939,6.11300056905003,9.77750222552585e-10,5.51541727856883e-08
"ENSG00000285894",258.024243794299,6.24322377875821,0.530602440126225,8.9393176888328,3.91580601199056e-19,6.97682022380269e-17
"ENSG00000224189",263.384385119236,6.24869258169694,0.357241496553661,13.2926679221422,2.55309916261511e-40,5.32868268082953e-37
"ENSG00000170577",42.2930677686178,6.25254340604143,0.478960965349878,9.92261113088773,3.31956280510581e-23,9.50957109462664e-21
"ENSG00000270372",19.8182872629169,6.27225573394899,0.664469422715676,7.18205469025928,6.867143859333e-13,6.02576407116247e-11
"ENSG00000261713",163.643912200068,6.30927444414809,0.615018667743426,7.81972108553042,5.29405051770775e-15,6.06635906382041e-13
"ENSG00000112818",317.600565241379,6.3175008353945,0.474739505320609,10.1476721052339,3.39361623476167e-24,1.0778420258667e-21
"ENSG00000238269",29.3224024133088,6.3193813449222,0.668392196497458,7.21040935273776,5.57839219317469e-13,5.00001901486394e-11
"ENSG00000251350",26.1451473333685,6.32792008154772,0.466745325690478,10.34379953223,4.46476670076577e-25,1.5909814999558e-22
"ENSG00000260289",20.5687219127684,6.33008565260111,0.520125812817093,9.2863794366223,1.59625880506563e-20,3.33162016314413e-18
"ENSG00000056291",55.9043383821146,6.33964210550107,0.600277214048941,8.06234518358128,7.48445025758291e-16,9.38607882088295e-14
"ENSG00000121388",12.210708423617,6.39222904079769,0.915073537832827,5.34626872981594,8.97858747963224e-08,3.74791894506934e-06
"ENSG00000228714",19.8744030993161,6.3942076172142,0.618800600828275,7.90918368641403,2.59082100144181e-15,3.07738982366381e-13
"ENSG00000248131",20.5610995180445,6.44427727847267,0.677524572054715,7.2975615681041,2.93029655180718e-13,2.74433542448096e-11
"ENSG00000117148",37.8674824995481,6.47475764364752,0.66119545609082,7.52388359269698,5.31726901923994e-14,5.50959577099968e-12
"ENSG00000248498",38.8223770539508,6.54059935852849,0.660980107743483,7.62594713437984,2.42249099450007e-14,2.61199951510303e-12
"ENSG00000171431",41.3912514108876,6.54072628841605,0.629372609975643,8.00912878717606,1.15523883201937e-15,1.4243071169454e-13
"ENSG00000197085",46.88580903845,6.55497835714139,0.525724704308798,9.61525740698732,6.89367089377946e-22,1.58608711430107e-19
"ENSG00000183117",110.474492230194,6.55559771158885,0.523143368731331,9.66388568366855,4.29265951794886e-22,1.0281271402825e-19
"ENSG00000152910",27.8057429279385,6.58903595357711,0.670362950407084,7.59146362502096,3.16311971395395e-14,3.34878108846864e-12
"ENSG00000227674",24.9406140278066,6.60669682343985,0.551631043915568,9.25745002890279,2.09372560751551e-20,4.30835649659177e-18
"ENSG00000182798",46.1498799930714,6.6225449019392,0.572413509983757,8.94902865252875,3.58624072575779e-19,6.46851567942238e-17
"ENSG00000189186",22.6159752331234,6.63963346260491,0.747365353531618,6.87700257754519,6.11250049100578e-12,4.84030526686149e-10
"ENSG00000043355",232.506115122166,6.66505902340523,0.333520034194041,15.486503039875,4.27942904549395e-54,1.25044916709333e-49
"ENSG00000166869",20.0614042369558,6.6735271106095,0.828344544251325,6.24562224320007,4.22116244415889e-10,2.54314157975923e-08
"ENSG00000285711",23.1934354701482,6.67573872409409,0.535564620521672,9.66407885392543,4.28456958152758e-22,1.0281271402825e-19
"ENSG00000257893",33.1030491961782,6.67948033026848,0.709981045166248,7.29523747927054,2.98132746911387e-13,2.77434358750023e-11
"ENSG00000259439",25.5559686993929,6.69937535731312,0.645672434288014,8.05265190397433,8.10190872697855e-16,1.01169988462527e-13
"ENSG00000184735",25.8486633290638,6.71571660733085,0.712925866963151,7.31593121953652,2.55602566948969e-13,2.41705728357569e-11
"ENSG00000253877",76.5294110311563,6.72664172590854,0.665880949820015,7.84921347775647,4.18654468373237e-15,4.87373847245657e-13
"ENSG00000139800",86.6141149424076,6.73068272635965,0.454839619919369,11.5000595754761,1.31824409053693e-30,9.39490056719246e-28
"ENSG00000154646",23.2938584203597,6.74953055126076,0.804857072167337,6.52231400181986,6.92308884528613e-11,4.69356510578331e-09
"ENSG00000121075",46.3782718080924,6.81282215302759,0.548307883619491,9.68948707787417,3.34202810978504e-22,8.346500971617e-20
"ENSG00000185686",400.818995271927,6.83189100473709,0.600025458414867,8.88610796418998,6.32868612311265e-19,1.10073933641281e-16
